Type,Provider,Name,Location,Lat,Long_,Location_T,City
Free,AT&T,Clove Lakes Park,Near Baseball Field,40.6182,-74.1072,Outdoor,Staten Island
Free,AT&T,Battery Park,"Kiosk near center of Park, Near Battery Garden",40.7016,-74.0153,Outdoor,New York
Free,AT&T,The High Line,Near Chelsea Market,40.7436,-74.0069,Outdoor,New York
Free,AT&T,Thomas Paine Park,Near Story Corps Building,40.7145,-74.0029,Outdoor,New York
Free,AT&T,Brooklyn Bridge Park,"Pier 1, Pier 5, Pier 6",40.7024,-73.9964,Outdoor,Brooklyn
Free,Manhattan Down Alliance,10,"5 Hanover Square, New York, NY 10004, USA",40.7048988,-74.0093002,Outdoor,New York
Free,AT&T,Tompkin Square Park,Around the Field House,40.7268,-73.9814,Outdoor,New York
Free,AT&T,Central Park,Tavern on the Green,40.773,-73.9781,Outdoor,New York
Free,AT&T,Fort Green Park,Near Visitors Center,40.6921,-73.9757,Outdoor,Brooklyn
Free,AT&T,Central Park,Mineral Springs (around the restaurant),40.773,-73.9744,Outdoor,New York
Free,AT&T,Central Park,Around the Zoo,40.7677,-73.9719,Outdoor,New York
Free,AT&T,Prospect Park,Picnic House,40.6655,-73.9713,Outdoor,Brooklyn
Free,AT&T,McCarren Park,Field House and Restrooms,40.722,-73.9519,Outdoor,Brooklyn
Free,AT&T,Herbert Von King Park,Near Ampitheater Stage,40.6896,-73.9465,Outdoor,Brooklyn
Free,AT&T,Marcus Gravey Park,"Park Office Rooftop, Ampitheater",40.8048,-73.9443,Outdoor,New York
Free,AT&T,Thomas Jefferson Park,Near Park Building,40.7936,-73.9367,Outdoor,New York
Free,AT&T,Holcombe Rucker Park,"Near Basketball Courts, Playground",40.8293,-73.9365,Outdoor,New York
Free,AT&T,Astoria Park,Field House,40.7762,-73.9254,Outdoor,Queens
Free,AT&T,Joyce Kilmer Park,Play Area,40.8297,-73.9219,Outdoor,Bronx
Free,AT&T,Devoe Park,Near Park Building,40.8639,-73.9047,Outdoor,Bronx
Free,AT&T,Flushing Meadows Corona Park,Near Discovery Center,40.7445,-73.8507,Outdoor,Queens
Free,AT&T,Mcdonald Playground,Near Park Building,40.7224,-73.8471,Outdoor,Staten Island
Free,NYPL,Battery Park City Library,175 NORTH END AVENUE,40.71548815,-74.01621384,Library,New York
Free,BPL,Highlawn - Brooklyn Public Library,1664 WEST 13 STREET,40.60569034,-73.98623163,Library,Brooklyn
Free,BPL,Mapleton - Brooklyn Public Library,1702 60 STREET,40.62306453,-73.98944677,Library,Brooklyn
Free,QPL,Queens Central Library,89-11 MERRICK BOULEVARD,40.70787313,-73.79467804,Library,Jamaica
Free,QPL,Middle Village,72-31 METROPOLITAN AVENUE,40.71294357,-73.88086427,Library,Middle Village
Free,QPL,Queensboro Hill,60-05 MAIN STREET,40.74293095,-73.82516996,Library,Flushing
